External ID,urobilin,methylimidazole acetic acid,phenylalanine,valine,cadaverine,7-methylxanthine,C18:2 LPC,C16:0 LPC,2-deoxyadenosine,urate,spermidine,leucine,tyrosine,ADMA/SDMA,linoleate,N-acetylhistamine,N6-acetyllysine,tryptophan,"N1,N12-diacetylspermine",isoleucine
PSM7J1BF,5534450,126553697,495730590,5933788893,307325540,628024941,215005800,2228752665,398838329,15664377,95647388,303064043,134419127,401927237,89836767,325781686,82749296,51864110,817732809,200827727
CSM7KORK,404543968,1536410596,492822724,1140735427,667435164,212845953,25912072,430519831,213495141,61490991,2149504168,486919664,220532174,160209192,89040909,564046755,134571615,94980741,197785583,242214212
HSM7J4HS,,200167753,9921924018,5211052399,9284408,132549309,100296093,1357251243,48678411,10080864,92732407,5676321343,1747885242,732491672,48476399,140851346,409777409,2908192530,834094503,3956896439
MSM9VZNL,6147556868,1584807774,2110732687,1067822221,5885934,10769543,7211198,28796524,483841324,300076889,187680288,1834367748,592075318,57432243,26852825,397786925,409249678,371142589,13374771,1834732718
MSMB4LYB,3103920479,2769122415,2314909779,1468253970,18642649,189452110,171322837,202925553,2836222167,191906080,2886440254,2073279456,745298208,163460324,46266673,484280838,656112363,471515554,206309630,1532061133
MSM6J2PM,874556404,1552798178,29482936,64302585,16178860,9495311,7416028,54027462,28107256,103063357,92023,27367508,27900701,20282602,35857332,82833016,27949561,13507267,,18515735
MSMA26ET,2721228530,1569927614,2912500666,1991639494,1777175102,535900587,,7698580,528692687,115983791,1358645964,2743880960,669218014,281484689,51133180,98015839,195790985,561563263,390518618,1491495812
CSM79HMN,29109425,10751950477,1480274260,905700594,116605523,506603617,133410648,468491154,252003907,187962032,1799077974,1599960340,377451757,72518142,53786201,492210192,127194067,207127253,46829902,1095658271
CSM67UB1,259765078,2338685760,499034954,532662393,445452912,130141953,52496888,717546071,186626171,25568058,79466652,538133805,108825915,51740633,86162461,,92197348,75800941,12519374,387324323
HSM7J4IS,7629691,605237439,3226918066,2277078704,9196693,565065722,38592623,1206073055,436501780,22365843,358481200,1506908557,707266865,100232951,82758928,256561134,99707357,196459392,477162101,1017121357
HSM7J4LN,,1938158248,559046551,3283915868,296508169,109282006,58499313,663570198,334009393,22117025,257064777,519751064,157420593,210510989,108562803,121404228,87327057,71765320,596771723,230588817
MSMA26AL,4503163314,647316147,1829630212,1128904281,3485214,,7645274,59753242,772090952,168178141,314759984,1775696002,543058712,39940854,15392949,117456486,125393451,307634886,42846373,1487732035
HSM6XRVK,1435844049,47407269,1511570544,1585828931,22474064,400954569,594623490,626100278,608990424,227040002,1202061646,1427626848,419200461,578983981,72553163,193607489,99401362,247819511,2841787122,869404225
MSMB4LXW,2420137853,144217281,575688111,401280957,112225742,1416508510,188562712,246349700,1229046724,240986009,282700012,589420697,163069338,337398956,187972514,53653708,178795097,155712640,82576724,336307496
HSM7J4IU,815025447,405840589,264489933,232462171,11309147,21990126,11688183,45984163,20201546,28789047,375123,219398103,94764395,8216495,116353163,315123209,63751104,52031740,1566821,140055683
MSM6J2IQ,447831510,1937866960,577727275,739109719,63617922,314696214,137849542,265589624,66491661,41024924,1060531480,495258406,203414378,690427840,138574848,454160104,89624145,138586453,1230173989,350231789
MSM9VZNX,,1582873384,1011911674,4418273680,63910462,416841007,10134850,202232828,398730107,58249106,127776532,994558489,284986864,1359274966,52279768,572560070,52457340,217403447,201628242,650603963
HSM67VGA,49354170,2839177750,600624758,460778443,17640340,150130718,22904836,99334396,317719231,1153392761,112233658,693715674,129017589,1493250060,90304929,250083392,136052848,71130044,18371498,613663207
MSM79H6Y,917070972,11730584898,77315089,182862171,2465286,5300753,386645458,657154500,134205538,42933869,54821281,84572122,51512955,50340587,597803247,1793121,153224324,25583811,16673361,66926152
MSM9VZHX,15320057,6558032965,549004261,1535047977,882668276,155432949,24203061,446864698,431192788,46578219,1317925962,483609635,183485290,593596974,43633161,1014385157,137583660,120962679,121085200,280852755
MSM79H6F,12186376099,10834708808,488866706,803294347,4094786,,57086968,204207658,264560352,98673133,342310686,654723770,132132164,23141088,75109775,1979665,160684351,64633276,18374629,529461505
HSM7J4I3,,2128085532,490283887,2754858867,6656803,892455754,80636741,505777836,563057470,71105840,121326104,562754481,178916296,299649169,40347966,2021489139,229181926,154203565,156042350,309911165
PSMA265N,3540080,218569691,1467087463,704313344,1462511,14672428,,64371072,322836410,218028695,4435094,1424472398,342539075,6843943,29780430,158034666,63316277,184204602,904467,1136869828
PSMB4MC5,14844500,99684922,603302377,1587337745,7757514,260135729,132652908,1136306001,169533807,35201205,607720678,540992704,177492399,446840824,54371367,314214196,82479985,104419215,471514292,250322538
CSM79HP4,4693916970,4950950103,106086488,303111651,127527994,4297797,362577280,403489381,387759507,21157316,982439961,101691467,51182330,327692193,152939806,1039787221,120507333,38861772,156966897,89025889
PSMA263W,,672300283,3403134538,1842172976,976614467,120745905,13380626,302220221,34252977,101291510,219300777,2913841955,1010995269,612240651,42097577,7870497440,93191539,685247342,548058666,1428348855
