External ID,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_sp_An250,k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified|s__Proteobacteria_bacterium_CAG_139,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_leptum,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_83,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sp_HMSC71H05,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dielma|s__Dielma_fastidiosa,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Eubacterium_siraeum,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_clostridioforme,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_253,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_242,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_galacturonicus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimonas|s__Intestinimonas_butyriciproducens
PSM7J1BF,0,1.87005,0.02485,1.3966,0,0,0,0.47874,0.06629,0,1.02814,0,0,0.14747,0,0,0,0,0,0,0.06481,0.01415,0,0,0,0.00169,0,0,0,0
CSM7KORK,0,0.06907,0.1438,0,0,0.84476,0,0.10034,0,0.06481,0.00148,0.01819,0,0,0.11494,0,0.05089,3.70227,0,0,0.28962,0,0,0,3.20348,0,0,0,0,0
HSM7J4HS,0,0,1.10834,0,0,0.69877,0,1.4426,0,0,0,3.09033,0,0,0,0,0,0.18063,0,0,0,0,0,0,5.22031,0,0,0,0,0
MSM9VZNL,0.01983,0.02732,0.68865,0.43414,0,0.01473,0.08116,0.34546,0.37402,0,0.0596,1.06486,0,0.14126,0.00455,0,0.00229,0,0.00874,0,0,0,0,0,1.3118,0,0,0,0.07738,0
MSMB4LYB,0,7.85402,0,1.07279,0.02885,0.1588,0.19908,0,0.16817,0,0,10.65679,0,0,1.32499,0,0.02966,0,0,0,0,0,0,0,0,0,0,0,0,0
MSM6J2PM,0.02689,0,0,2.85218,0,0.01849,0,0.00292,0,0,1.18921,15.22367,0,0,0.01405,0,0,2.55159,5.21625,0,0.08981,0,0,0,3.75037,0.04529,0,0,0,0.01538
MSMA26ET,0,0,0.02861,0.27338,0,0,0.24114,0.0745,0.4481,0.43012,0.49357,0.12549,0,0,0,0,0,0.34048,0.10539,0,0.11397,0,0,0,0.24064,0,0.03248,0,0,0
CSM79HMN,0,1.37067,0,0.49754,0,0,0,0.00974,0.28194,0,1.39892,7.97067,0,0,0.00164,0.03899,0,0,0.07119,0,0,0,0,0,10.59286,0,0.00878,0,0,0.02668
CSM67UB1,1.26806,0.88413,0,5.09791,0.00369,0,0,0.094,1.4469,0,3.05633,15.32942,0,0,0.00613,0,0,0,0,0,0.00137,0,0,0,0,0,0,0,0,0.4715
HSM7J4IS,0.02652,33.39142,0.03201,0,0,0.20493,0,0.00411,0,0.0257,0.89189,0,0,0.01996,0,0,0,0,0,0,0,0,0,0,14.09221,0,0,0,0,0
HSM7J4LN,0,0,0,0,0,0,0,0,0,0,0,0,0.1351,0.099,0,0,0,0,0,0,0,0.03437,0,0,23.14914,0.03955,0,0,0,0
MSMA26AL,2.64155,0,0.95339,0.89654,0,0,0.03667,0.3563,0.01982,0,3.1843,0,0,0,0,0,4.42145,0,0,0,0,0.00931,0.02556,0,12.85636,0,0,0,0,0.41308
HSM6XRVK,0.17015,0,0.20329,0,0,0.0167,0.05195,0.21892,0,0,0.45981,0,0,0.09001,0,0,0,5.39135,0.01628,0,0.92672,0,0,0,4.61767,0,0,0,0,0
MSMB4LXW,0,0,0.17074,0.21622,0,0,0,0.05134,0.02022,2.40201,0.07098,3.0308,0,0,0.14971,0,0.01764,0,0,0,0,0,0,0,8.04361,0,0,0,0,0
HSM7J4IU,0.01005,0.2921,0.04113,0.77849,0,0.79005,0.03644,0.02819,0,19.70225,2.03842,5.13965,0,0.00476,0,0,7.77804,0,0.11249,0,0.55466,0,0,0,9.07251,0,0,0,0,0
MSM6J2IQ,0.61235,0,0,0,0.03081,0,0,0.01715,0,16.81706,0,0,0,0,0.01717,0.05823,0,0,0,0.00359,0,0.05122,0,0,0,0,0.02556,0,0,0
MSM9VZNX,0,14.44269,0,0,0.31865,0.27047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16863,0.03714,0,0,0,0,0,0,0,0
HSM67VGA,2.25108,0.03512,0.31388,1.16801,0.0421,0.91971,1.13904,0.08751,0.57084,0,5.18817,5.81407,0,0,0.08297,0,0.50693,0,0,0,0,0.02503,0.18324,0,0.08608,0,0,0,0,0.10707
MSM79H6Y,0.08775,0,0.08767,0.38087,0,0,0,0.00429,0,0.33528,0.96201,3.05275,0,0.02466,0,0,10.49681,0.06613,0.10176,0,0.1321,0,0,0,0,0.00818,0,0,0,0
MSM9VZHX,0,2.0333,0.02506,0.56445,0,0.06211,0.13471,0,0,0,0,5.69138,0,0,0.04344,0.00125,0,0,0.03313,0,2.06699,0.05217,0,0,0,0,0,0,0,0
MSM79H6F,0,2.18012,0,1.00529,0,0,0,0,0,2.2246,0.51567,5.53333,0,0,0,0,0.07779,1.17009,1.40663,0,0,0,0,0,0,0,0,4.30829,0,0
HSM7J4I3,0,0,0.0627,0,0,0,0,0,0.06099,0,0.46932,0,0,0.73035,0,0.03152,0,0,0,0,0.35637,0.00335,0,0,19.08911,0,0,0,0.03281,0
